"","sp_name","time","ca_cohort_sum","ca_ha","cum_ca","ca_percent","oak_rate","LL_Rates_cm","groundwater_class","cum_avg_percentage"
"1","SEI",26,10000,1,10000,100,"mean","30 cm","intermediate",100
"2","SEI",31,10000,1,10000,100,"mean","30 cm","intermediate",100
"3","SEI",36,10000,1,10000,100,"mean","30 cm","intermediate",100
"4","SEI",41,10000,1,10000,100,"mean","30 cm","intermediate",100
"5","SEI",46,10000,1,10000,100,"mean","30 cm","intermediate",100
"6","SEI",51,10000,1,10000,100,"mean","30 cm","intermediate",100
"7","SEI",56,10000,1,10000,100,"mean","30 cm","intermediate",100
"8","SEI",61,10000,1,10000,100,"mean","30 cm","intermediate",100
"9","SEI",66,10000,1,10000,100,"mean","30 cm","intermediate",100
"10","SEI",71,10000,1,10000,100,"mean","30 cm","intermediate",100
"11","SEI",76,10000,1,10000,100,"mean","30 cm","intermediate",100
"12","SEI",81,10000,1,10000,100,"mean","30 cm","intermediate",100
"13","SEI",86,10000,1,10000,100,"mean","30 cm","intermediate",100
"14","SEI",91,10000,1,10000,100,"mean","30 cm","intermediate",100
"15","SEI",96,10000,1,10000,100,"mean","30 cm","intermediate",100
"16","SEI",101,10000,1,10000,100,"mean","30 cm","intermediate",100
"17","SEI",106,10000,1,10000,100,"mean","30 cm","intermediate",100
"18","SEI",111,10000,1,10000,100,"mean","30 cm","intermediate",100
"19","SEI",116,10000,1,10000,100,"mean","30 cm","intermediate",100
"20","SEI",121,9918.90261687642,0.991890261687642,10000,99.1890261687642,"mean","30 cm","intermediate",99.9594513084382
"21","SEI",126,9815.93151026083,0.981593151026083,10000,98.1593151026083,"mean","30 cm","intermediate",99.873730536732
"22","SEI",131,9665.76397842372,0.966576397842372,10000,96.6576397842372,"mean","30 cm","intermediate",99.7275445934368
"23","SEI",136,9493.55393471745,0.949355393471745,10000,94.9355393471745,"mean","30 cm","intermediate",99.5191965392515
"24","SEI",141,9305.379113256,0.9305379113256,10000,93.05379113256,"mean","30 cm","intermediate",99.249804647306
"25","SEI",146,9104.39625053965,0.910439625053965,10000,91.0439625053965,"mean","30 cm","intermediate",98.9215709616296
"26","SEI",151,8890.34642524955,0.889034642524955,10000,88.9034642524955,"mean","30 cm","intermediate",98.5362591651245
"27","SEI",156,8664.22643530125,0.866422643530125,10000,86.6422643530125,"mean","30 cm","intermediate",98.09574083875
